Year,BP_Sex_Gap_pct,Obesity_Sex_Gap_pct,Diabetes_Sex_Gap_pct
1980,-3.73508780914883,5.688028972566273,0.6752878380193837
1981,-3.756289959145688,5.781865419744722,0.6473749222165831
1982,-3.7750991155177167,5.873337972459604,0.6185132843074032
1983,-3.789667086713877,5.962385673259669,0.5891624449894152
1984,-3.801401879601662,6.0493093085353635,0.5598068881139789
1985,-3.809460106049825,6.133569860499267,0.5289592047005249
1986,-3.8126929109525243,6.215085404912375,0.49839429407178637
1987,-3.8128759865321826,6.293672314097344,0.4682822655893947
1988,-3.8116679475797355,6.369799596885066,0.4384446202082712
1989,-3.8086398913067696,6.442991824048107,0.40877053314742035
1990,-3.805853936285482,6.513676575600987,0.37905186503114996
1991,-3.8006585657383662,6.57966389678147,0.3501379099241537
1992,-3.7980662775759595,6.641371607201704,0.32143478370709483
1993,-3.799297870121116,6.698876236020379,0.29316589462720055
1994,-3.802720631099567,6.7528221649366715,0.26599078193812686
1995,-3.810770088761619,6.8040602144419395,0.24029371409762132
1996,-3.8237487826957657,6.852000484414237,0.21551682801555244
1997,-3.8396069402107464,6.89718846537925,0.1921508221339535
1998,-3.8600476939840145,6.939751552153476,0.1690996024169274
1999,-3.882750271919328,6.979913876252994,0.14701483000650126
2000,-3.9082426014690452,7.017713948373801,0.1252039085905739
2001,-3.935982364596548,7.053455715155073,0.10300990090297654
2002,-3.964504735436665,7.087126962103476,0.0807006134854561
2003,-3.9921671237307628,7.1181869081727855,0.05764660101571861
2004,-4.019749874505571,7.146465262266637,0.034799915936693175
2005,-4.045367709431924,7.171585812240811,0.013571827996864955
2006,-4.068560058355766,7.194107088508532,-0.005898183592925089
2007,-4.090648982582529,7.213913308119817,-0.024659044050304554
2008,-4.109676362150735,7.2305372764590015,-0.04228973020499593
2009,-4.123395482536733,7.243634180418812,-0.05699562789401225
2010,-4.132906671188823,7.253025153764067,-0.06973383011822984
2011,-4.13843109474412,7.258988610555488,-0.08151286108456084
2012,-4.144393726430536,7.261084873603152,-0.09405301852837536
2013,-4.150188611964038,7.258585179456799,-0.1061521620147798
2014,-4.156068516134262,7.250842293960707,-0.11827902754877748
